MHA,MHA_NAME,E01,E02,E03,E04,E05,E06,E07,E08,E09,W01,W02,W03,W04,W05,O01E,O02E,O03E,O01,O02,O03,O04,O05,O06,O07
AK400,"KETCHIKAN, AK",1527,1527,1527,1527,1842,1854,1899,2112,2232,1857,2109,2244,2463,2553,2016,2208,2436,1851,1974,2289,2529,2586,2670,2712
AK401,"SITKA, AK",1413,1413,1413,1413,1776,1788,1866,1974,2112,1791,1971,2127,2385,2517,1884,2085,2349,1785,1869,2181,2490,2571,2700,2742
AK402,"JUNEAU, AK",1566,1566,1566,1566,1914,1926,1965,2172,2304,1929,2169,2319,2556,2637,2070,2277,2532,1923,1998,2370,2616,2667,2748,2790
AK403,"KODIAK ISLAND, AK",1590,1590,1590,1590,1737,1749,1875,2151,2202,1794,2148,2208,2310,2343,2100,2193,2298,1746,2028,2232,2328,2355,2376,2412
AK404,"ANCHORAGE, AK",1497,1497,1497,1497,1749,1761,1869,2055,2157,1764,2052,2160,2361,2535,1977,2130,2313,1758,1902,2196,2502,2613,2787,2832
AK405,"FAIRBANKS, AK",1374,1374,1374,1374,1566,1578,1671,1878,1947,1632,1875,1953,2100,2205,1815,1932,2070,1575,1773,1983,2181,2247,2346,2382
AL001,"ANNISTON/FORT MCCLELLAN, AL",822,822,822,822,915,978,1023,1110,1176,1020,1107,1182,1305,1329,1047,1161,1296,975,1044,1212,1317,1332,1347,1362
AL002,"FORT RUCKER, AL",1002,1002,1002,1002,1083,1149,1275,1404,1527,1218,1380,1530,1572,1737,1332,1464,1554,1137,1305,1533,1704,1809,1971,1998
AL003,"HUNTSVILLE, AL",1236,1236,1236,1236,1353,1482,1563,1758,1833,1530,1755,1842,1977,1983,1689,1818,1971,1425,1653,1875,1980,1986,1989,2001
AL004,"MOBILE, AL",1191,1191,1191,1191,1338,1449,1587,1764,1794,1548,1761,1797,1872,1890,1722,1788,1863,1437,1680,1815,1878,1914,1932,1944
AL005,"MONTGOMERY, AL",1065,1065,1065,1065,1212,1305,1356,1428,1443,1353,1425,1446,1500,1566,1398,1440,1479,1302,1389,1455,1548,1674,1689,1698
AL006,"AUBURN, AL",1155,1155,1155,1155,1164,1188,1248,1419,1605,1245,1347,1608,1656,1809,1308,1497,1653,1185,1296,1611,1806,2007,2022,2049
AL007,"BIRMINGHAM, AL",1224,1224,1224,1224,1377,1488,1632,1821,1860,1590,1818,1866,1947,1956,1776,1854,1941,1473,1731,1887,1950,1959,1962,1971
AR010,"LITTLE ROCK, AR",1170,1170,1170,1170,1392,1521,1563,1596,1602,1560,1593,1605,1614,1695,1581,1599,1611,1518,1578,1608,1674,1761,1803,1827
AR012,"FORT CHAFFEE/FORT SMITH, AR",687,687,687,687,765,1140,1161,1173,1269,1158,1170,1284,1518,1527,1167,1239,1512,816,1164,1338,1521,1530,1533,1536
AR411,"FAYETTEVILLE, AR",999,999,999,999,1092,1251,1320,1419,1506,1269,1416,1518,1689,1779,1344,1491,1662,1152,1323,1554,1758,1815,1902,1926
AZ013,"PHOENIX, AZ",1656,1656,1656,1656,1830,1953,2166,2403,2409,2091,2400,2412,2445,2484,2376,2406,2430,1929,2310,2415,2469,2493,2526,2565
AZ014,"FORT HUACHUCA, AZ",1011,1011,1011,1011,1149,1359,1392,1524,1626,1377,1521,1638,1818,1860,1440,1605,1806,1233,1413,1680,1845,1872,1908,1935
AZ015,"DAVIS-MONTHAN AFB, AZ",1176,1176,1176,1176,1302,1542,1569,1806,1893,1557,1803,1902,2055,2070,1731,1875,2049,1392,1683,1938,2058,2073,2076,2100
AZ016,"YUMA, AZ",1089,1089,1089,1089,1200,1284,1410,1584,1623,1377,1581,1629,1725,1788,1539,1617,1707,1272,1500,1650,1770,1812,1869,1896
CA018,"OAKLAND, CA",2523,2523,2523,2523,2874,3093,3336,3645,3717,3246,3642,3726,3867,3921,3579,3705,3849,3063,3501,3756,3903,3939,3987,4056
