MHA,MHA_NAME,E01,E02,E03,E04,E05,E06,E07,E08,E09,W01,W02,W03,W04,W05,O01E,O02E,O03E,O01,O02,O03,O04,O05,O06,O07
AK400,"KETCHIKAN, AK",2034,2034,2034,2034,2454,2472,2532,2625,2787,2475,2574,2688,2829,3000,2547,2667,2850,2466,2469,2685,3057,3324,3351,3378
AK401,"SITKA, AK",1884,1884,1884,1884,2367,2385,2487,2625,2760,2388,2547,2715,2781,2856,2511,2691,2787,2379,2382,2712,2877,2991,3018,3039
AK402,"JUNEAU, AK",2088,2088,2088,2088,2550,2568,2619,2706,2847,2571,2658,2763,2883,3027,2631,2745,2901,2562,2565,2760,3075,3300,3327,3354
AK403,"KODIAK ISLAND, AK",2118,2118,2118,2118,2316,2334,2340,2370,2508,2337,2352,2394,2559,2754,2343,2382,2583,2328,2331,2391,2823,3138,3165,3189
AK404,"ANCHORAGE, AK",1995,1995,1995,1995,2331,2349,2493,2682,2877,2352,2574,2802,2910,3033,2529,2769,2922,2343,2346,2796,3072,3267,3294,3321
AK405,"FAIRBANKS, AK",1833,1833,1833,1833,2088,2106,2181,2292,2433,2109,2229,2361,2463,2583,2199,2340,2478,2100,2103,2358,2622,2808,2832,2853
AL001,"ANNISTON/FORT MCCLELLAN, AL",1017,1017,1017,1017,1053,1308,1326,1347,1416,1323,1338,1368,1443,1533,1329,1359,1452,1092,1305,1365,1563,1707,1719,1728
AL002,"FORT RUCKER, AL",1239,1239,1239,1239,1338,1539,1698,1872,2037,1557,1773,1986,2064,2151,1728,1953,2073,1368,1536,1980,2181,2319,2337,2352
AL003,"HUNTSVILLE, AL",1563,1563,1563,1563,1695,1980,2001,2010,2052,1998,2007,2019,2082,2190,2004,2013,2094,1737,1977,2016,2223,2391,2412,2427
AL004,"MOBILE, AL",1587,1587,1587,1587,1728,1875,1893,1905,2019,1890,1899,1923,2064,2229,1896,1914,2082,1755,1872,1920,2286,2553,2574,2592
AL005,"MONTGOMERY, AL",1356,1356,1356,1356,1404,1494,1551,1620,1755,1509,1581,1665,1794,1944,1560,1650,1812,1422,1491,1662,1995,2232,2250,2265
AL006,"AUBURN, AL",1254,1254,1254,1254,1314,1458,1665,1890,2139,1476,1758,2037,2181,2349,1707,1995,2202,1341,1455,2028,2409,2676,2697,2718
AL007,"BIRMINGHAM, AL",1632,1632,1632,1632,1782,1953,1971,1980,1992,1968,1977,1989,2007,2058,1974,1983,2010,1809,1950,1986,2073,2154,2169,2184
AR010,"LITTLE ROCK, AR",1554,1554,1554,1554,1587,1605,1677,1761,1902,1620,1713,1818,1938,2079,1689,1800,1953,1599,1602,1815,2127,2346,2367,2382
AR012,"FORT CHAFFEE/FORT SMITH, AR",903,903,903,903,1020,1518,1542,1551,1581,1539,1548,1560,1605,1692,1545,1554,1614,1086,1515,1557,1716,1851,1863,1875
AR411,"FAYETTEVILLE, AR",1254,1254,1254,1254,1350,1671,1758,1854,1962,1689,1800,1917,1986,2067,1773,1899,1995,1395,1668,1914,2091,2217,2235,2250
AZ013,"PHOENIX, AZ",2160,2160,2160,2160,2382,2445,2475,2517,2589,2460,2496,2547,2613,2694,2478,2535,2619,2400,2442,2544,2718,2844,2868,2889
AZ014,"FORT HUACHUCA, AZ",1344,1344,1344,1344,1446,1812,1854,1896,1938,1833,1872,1926,1950,1977,1857,1914,1953,1497,1809,1923,1980,2019,2037,2049
